epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6232,1.38528,2.31696,1.24366,0.88926,0.88248,0.91212,0.62488,1.06435,0.9998,1.00704,0.000207101,0.000207101,0.000207101
2,104.415,0.9994,0.90468,0.99969,0.93802,0.92413,0.93037,0.64384,1.03109,0.68338,0.97922,0.000412692,0.000412692,0.000412692
3,153.495,0.96164,0.79792,0.98053,0.93316,0.93848,0.94447,0.6599,1.01368,0.61303,0.98543,0.000615534,0.000615534,0.000615534
4,204.641,0.94414,0.74142,0.97377,0.97979,0.94664,0.95624,0.67373,0.99974,0.58242,0.97801,0.000612625,0.000612625,0.000612625
5,254.565,0.92149,0.68876,0.96524,0.9576,0.94988,0.95515,0.6917,0.97546,0.55709,0.96483,0.0006085,0.0006085,0.0006085
6,305.513,0.91183,0.65007,0.96357,0.95663,0.96815,0.96258,0.69935,0.95105,0.55557,0.94465,0.000604375,0.000604375,0.000604375
7,359.795,0.89965,0.62124,0.95494,0.9835,0.94385,0.95565,0.70491,0.93707,0.52405,0.94122,0.00060025,0.00060025,0.00060025
8,415.758,0.88236,0.59364,0.95241,0.96609,0.9611,0.96526,0.70965,0.92572,0.51717,0.94381,0.000596125,0.000596125,0.000596125
9,470.363,0.87698,0.56873,0.94856,0.97399,0.95792,0.9651,0.70557,0.95279,0.50903,0.94265,0.000592,0.000592,0.000592
10,526.329,0.86098,0.55549,0.94331,0.97209,0.94966,0.9599,0.70343,0.93406,0.5064,0.94857,0.000587875,0.000587875,0.000587875
11,582.066,0.86017,0.54563,0.9458,0.98228,0.95321,0.96746,0.70964,0.95962,0.48917,0.93574,0.00058375,0.00058375,0.00058375
12,636.873,0.86119,0.53683,0.94366,0.97676,0.95174,0.9621,0.70343,0.95068,0.50188,0.9389,0.000579625,0.000579625,0.000579625
13,692.421,0.85415,0.52503,0.94406,0.98091,0.94903,0.96163,0.72799,0.88763,0.47155,0.93292,0.0005755,0.0005755,0.0005755
14,748.633,0.84844,0.5148,0.94191,0.96197,0.96791,0.96613,0.72333,0.89484,0.46509,0.9306,0.000571375,0.000571375,0.000571375
15,804.051,0.84515,0.50402,0.94046,0.9733,0.96535,0.97117,0.72731,0.90127,0.46542,0.92975,0.00056725,0.00056725,0.00056725
16,860.696,0.83243,0.49048,0.93663,0.97414,0.96192,0.9705,0.72491,0.90992,0.44615,0.9366,0.000563125,0.000563125,0.000563125
17,917.021,0.834,0.48718,0.9387,0.97873,0.96187,0.97027,0.73332,0.88771,0.45606,0.92447,0.000559,0.000559,0.000559
18,969.729,0.81925,0.48473,0.93247,0.97799,0.96654,0.97388,0.73766,0.89454,0.44251,0.92752,0.000554875,0.000554875,0.000554875
19,1023.66,0.81185,0.47679,0.92987,0.96776,0.97304,0.97192,0.73892,0.87247,0.43988,0.9219,0.00055075,0.00055075,0.00055075
20,1077.46,0.81344,0.4835,0.93239,0.97721,0.96052,0.96986,0.73631,0.88317,0.4404,0.92302,0.000546625,0.000546625,0.000546625
21,1128.76,0.81171,0.47015,0.92699,0.97379,0.95717,0.96953,0.74243,0.86209,0.43148,0.92263,0.0005425,0.0005425,0.0005425
22,1186.12,0.80568,0.46154,0.92907,0.97983,0.96,0.97172,0.74211,0.87038,0.4264,0.92546,0.000538375,0.000538375,0.000538375
23,1238.68,0.80794,0.46166,0.93007,0.97756,0.96141,0.969,0.73535,0.88104,0.43092,0.92214,0.00053425,0.00053425,0.00053425
24,1290.18,0.79676,0.45735,0.92715,0.98273,0.96811,0.97747,0.74845,0.85886,0.42091,0.91776,0.000530125,0.000530125,0.000530125
25,1342.69,0.78498,0.44778,0.92331,0.98548,0.96252,0.97397,0.75229,0.84736,0.41056,0.92194,0.000526,0.000526,0.000526
26,1396.35,0.78463,0.44891,0.92421,0.97994,0.95792,0.97066,0.74748,0.85894,0.42075,0.91816,0.000521875,0.000521875,0.000521875
27,1451.04,0.7795,0.44573,0.91951,0.97247,0.96122,0.97108,0.74898,0.8603,0.42579,0.91698,0.00051775,0.00051775,0.00051775
28,1503.56,0.76958,0.44135,0.91937,0.97688,0.95962,0.96966,0.74769,0.84962,0.41258,0.9166,0.000513625,0.000513625,0.000513625
29,1557.46,0.77102,0.44111,0.92004,0.98146,0.96121,0.97223,0.75606,0.84374,0.41378,0.91774,0.0005095,0.0005095,0.0005095
30,1609.81,0.76998,0.43355,0.91803,0.97199,0.97324,0.97453,0.74988,0.85585,0.40714,0.91866,0.000505375,0.000505375,0.000505375
31,1663.09,0.76585,0.43515,0.91628,0.97795,0.96696,0.97637,0.75664,0.83314,0.40887,0.9135,0.00050125,0.00050125,0.00050125
32,1715.18,0.76243,0.43115,0.91758,0.98233,0.96331,0.97334,0.75173,0.84966,0.39892,0.91845,0.000497125,0.000497125,0.000497125
33,1768,0.75056,0.42646,0.91593,0.97264,0.97367,0.9772,0.76103,0.82638,0.39542,0.90853,0.000493,0.000493,0.000493
34,1820.16,0.74956,0.42497,0.91127,0.97903,0.9679,0.97483,0.76134,0.82621,0.40419,0.90688,0.000488875,0.000488875,0.000488875
35,1872.96,0.7505,0.42457,0.91466,0.98102,0.96482,0.97359,0.76067,0.82515,0.39611,0.90926,0.00048475,0.00048475,0.00048475
36,1924.69,0.74838,0.42831,0.91458,0.983,0.96421,0.975,0.76015,0.82796,0.39266,0.91212,0.000480625,0.000480625,0.000480625
37,1976.74,0.73667,0.41662,0.91135,0.97311,0.96176,0.97457,0.75254,0.84013,0.40604,0.91581,0.0004765,0.0004765,0.0004765
38,2028.78,0.73233,0.41507,0.90665,0.97895,0.96421,0.97614,0.7584,0.82627,0.39071,0.91268,0.000472375,0.000472375,0.000472375
39,2081.19,0.73242,0.41586,0.90878,0.97738,0.96627,0.9771,0.75579,0.83871,0.39519,0.91412,0.00046825,0.00046825,0.00046825
40,2134.15,0.72624,0.40739,0.90579,0.97341,0.97418,0.97835,0.7704,0.81055,0.38529,0.90638,0.000464125,0.000464125,0.000464125
41,2189,0.73575,0.41637,0.90818,0.98031,0.96263,0.97444,0.76704,0.81207,0.3937,0.90634,0.00046,0.00046,0.00046
42,2246.12,0.71819,0.40734,0.90528,0.97721,0.97419,0.97841,0.76194,0.81992,0.38733,0.90365,0.000455875,0.000455875,0.000455875
43,2303.68,0.72622,0.40588,0.90564,0.98084,0.96658,0.97731,0.77042,0.80275,0.3823,0.90596,0.00045175,0.00045175,0.00045175
44,2360.12,0.71622,0.40299,0.90585,0.97639,0.96768,0.97709,0.77386,0.79743,0.38164,0.90502,0.000447625,0.000447625,0.000447625
45,2415.02,0.71106,0.40423,0.90454,0.98007,0.97186,0.98006,0.7709,0.79356,0.3758,0.90353,0.0004435,0.0004435,0.0004435
46,2471.64,0.70347,0.40271,0.90251,0.97274,0.97044,0.97801,0.76811,0.80405,0.38234,0.90357,0.000439375,0.000439375,0.000439375
47,2527.57,0.70241,0.39988,0.90205,0.9685,0.97619,0.97891,0.77606,0.7827,0.3747,0.89551,0.00043525,0.00043525,0.00043525
48,2582.19,0.69361,0.39369,0.89884,0.97718,0.96241,0.97749,0.77962,0.77606,0.37435,0.89606,0.000431125,0.000431125,0.000431125
49,2638.4,0.69171,0.39263,0.89705,0.96809,0.97088,0.97688,0.77635,0.77498,0.36864,0.89417,0.000427,0.000427,0.000427
50,2692.71,0.69057,0.39569,0.8989,0.98157,0.96461,0.97756,0.77666,0.77848,0.37566,0.89532,0.000422875,0.000422875,0.000422875
51,2747.15,0.68695,0.39273,0.89839,0.97901,0.96537,0.97652,0.77955,0.76884,0.37537,0.89741,0.00041875,0.00041875,0.00041875
52,2803.6,0.69445,0.39252,0.89748,0.97695,0.96769,0.97887,0.78053,0.77651,0.36568,0.89553,0.000414625,0.000414625,0.000414625
